TimeSeries ID,Replicas
Mon Dec 16 2024 15:57:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:58:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:59:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 16:00:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 16:01:00 GMT+0100 (Central European Standard Time),17.043
Mon Dec 16 2024 16:02:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 16:03:00 GMT+0100 (Central European Standard Time),19.043
Mon Dec 16 2024 16:04:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 16:05:00 GMT+0100 (Central European Standard Time),29.043
Mon Dec 16 2024 16:06:00 GMT+0100 (Central European Standard Time),24.043
Mon Dec 16 2024 16:07:00 GMT+0100 (Central European Standard Time),16.043
Mon Dec 16 2024 16:08:00 GMT+0100 (Central European Standard Time),22.043
Mon Dec 16 2024 16:09:00 GMT+0100 (Central European Standard Time),26.043
Mon Dec 16 2024 16:10:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 16:11:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 16:12:00 GMT+0100 (Central European Standard Time),25.043
Mon Dec 16 2024 16:13:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 16:14:00 GMT+0100 (Central European Standard Time),18.043
Mon Dec 16 2024 16:15:00 GMT+0100 (Central European Standard Time),29.043
Mon Dec 16 2024 16:16:00 GMT+0100 (Central European Standard Time),22.043
