TimeSeries ID,0945a11e-d609-417b-bdf8-a3a16d608f33-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 15:31:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:32:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:33:00 GMT+0100 (Central European Standard Time),13.043
Mon Dec 16 2024 15:34:00 GMT+0100 (Central European Standard Time),17.043
Mon Dec 16 2024 15:35:00 GMT+0100 (Central European Standard Time),24.043
Mon Dec 16 2024 15:36:00 GMT+0100 (Central European Standard Time),21.043
Mon Dec 16 2024 15:37:00 GMT+0100 (Central European Standard Time),17.043
Mon Dec 16 2024 15:38:00 GMT+0100 (Central European Standard Time),27.043
Mon Dec 16 2024 15:39:00 GMT+0100 (Central European Standard Time),27.043
Mon Dec 16 2024 15:40:00 GMT+0100 (Central European Standard Time),16.043
Mon Dec 16 2024 15:41:00 GMT+0100 (Central European Standard Time),19.043
Mon Dec 16 2024 15:42:00 GMT+0100 (Central European Standard Time),23.043
Mon Dec 16 2024 15:43:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 15:44:00 GMT+0100 (Central European Standard Time),19.043
Mon Dec 16 2024 15:45:00 GMT+0100 (Central European Standard Time),28.043
Mon Dec 16 2024 15:46:00 GMT+0100 (Central European Standard Time),22.043
Mon Dec 16 2024 15:47:00 GMT+0100 (Central European Standard Time),16.043
Mon Dec 16 2024 15:48:00 GMT+0100 (Central European Standard Time),24.043
Mon Dec 16 2024 15:49:00 GMT+0100 (Central European Standard Time),24.043
Mon Dec 16 2024 15:50:00 GMT+0100 (Central European Standard Time),17.043
Mon Dec 16 2024 15:51:00 GMT+0100 (Central European Standard Time),20.043
Mon Dec 16 2024 15:52:00 GMT+0100 (Central European Standard Time),25.043
