TimeSeries ID,c398f85d-38b0-4c9c-96ec-b76190d1645b-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 15:07:00 GMT+0100 (Central European Standard Time),0.625
Mon Dec 16 2024 15:08:00 GMT+0100 (Central European Standard Time),0.625
Mon Dec 16 2024 15:09:00 GMT+0100 (Central European Standard Time),0.625
Mon Dec 16 2024 15:10:00 GMT+0100 (Central European Standard Time),0.625
Mon Dec 16 2024 15:11:00 GMT+0100 (Central European Standard Time),0.635
Mon Dec 16 2024 15:12:00 GMT+0100 (Central European Standard Time),0.64
Mon Dec 16 2024 15:13:00 GMT+0100 (Central European Standard Time),0.64
Mon Dec 16 2024 15:14:00 GMT+0100 (Central European Standard Time),0.635
Mon Dec 16 2024 15:15:00 GMT+0100 (Central European Standard Time),0.65
Mon Dec 16 2024 15:16:00 GMT+0100 (Central European Standard Time),0.645
Mon Dec 16 2024 15:17:00 GMT+0100 (Central European Standard Time),0.64
Mon Dec 16 2024 15:18:00 GMT+0100 (Central European Standard Time),0.64
Mon Dec 16 2024 15:19:00 GMT+0100 (Central European Standard Time),0.66
Mon Dec 16 2024 15:20:00 GMT+0100 (Central European Standard Time),0.655
Mon Dec 16 2024 15:21:00 GMT+0100 (Central European Standard Time),0.655
Mon Dec 16 2024 15:22:00 GMT+0100 (Central European Standard Time),0.67
Mon Dec 16 2024 15:23:00 GMT+0100 (Central European Standard Time),0.665
Mon Dec 16 2024 15:24:00 GMT+0100 (Central European Standard Time),0.665
Mon Dec 16 2024 15:25:00 GMT+0100 (Central European Standard Time),0.665
Mon Dec 16 2024 15:26:00 GMT+0100 (Central European Standard Time),0.66
Mon Dec 16 2024 15:27:00 GMT+0100 (Central European Standard Time),0.66
Mon Dec 16 2024 15:28:00 GMT+0100 (Central European Standard Time),0.66
Mon Dec 16 2024 15:29:00 GMT+0100 (Central European Standard Time),0.665
