TimeSeries ID,fb02c84a-94c2-46f4-a96a-72835c8ce8e8-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 15:07:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:08:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:09:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 15:10:00 GMT+0100 (Central European Standard Time),5
Mon Dec 16 2024 15:11:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 15:12:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 15:13:00 GMT+0100 (Central European Standard Time),6
Mon Dec 16 2024 15:14:00 GMT+0100 (Central European Standard Time),16
Mon Dec 16 2024 15:15:00 GMT+0100 (Central European Standard Time),16
Mon Dec 16 2024 15:16:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 15:17:00 GMT+0100 (Central European Standard Time),8
Mon Dec 16 2024 15:18:00 GMT+0100 (Central European Standard Time),15
Mon Dec 16 2024 15:19:00 GMT+0100 (Central European Standard Time),12
Mon Dec 16 2024 15:20:00 GMT+0100 (Central European Standard Time),5
Mon Dec 16 2024 15:21:00 GMT+0100 (Central European Standard Time),16
Mon Dec 16 2024 15:22:00 GMT+0100 (Central European Standard Time),16
Mon Dec 16 2024 15:23:00 GMT+0100 (Central European Standard Time),7
Mon Dec 16 2024 15:24:00 GMT+0100 (Central European Standard Time),15
Mon Dec 16 2024 15:25:00 GMT+0100 (Central European Standard Time),17
Mon Dec 16 2024 15:26:00 GMT+0100 (Central European Standard Time),10
Mon Dec 16 2024 15:27:00 GMT+0100 (Central European Standard Time),11
Mon Dec 16 2024 15:28:00 GMT+0100 (Central European Standard Time),16
Mon Dec 16 2024 15:29:00 GMT+0100 (Central European Standard Time),13
