TimeSeries ID,Request_Cores
Mon Dec 16 2024 14:40:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 14:41:00 GMT+0100 (Central European Standard Time),1
Mon Dec 16 2024 14:42:00 GMT+0100 (Central European Standard Time),5
Mon Dec 16 2024 14:43:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 14:44:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 14:45:00 GMT+0100 (Central European Standard Time),8
Mon Dec 16 2024 14:46:00 GMT+0100 (Central European Standard Time),12
Mon Dec 16 2024 14:47:00 GMT+0100 (Central European Standard Time),17
Mon Dec 16 2024 14:48:00 GMT+0100 (Central European Standard Time),17
Mon Dec 16 2024 14:49:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 14:50:00 GMT+0100 (Central European Standard Time),18
Mon Dec 16 2024 14:51:00 GMT+0100 (Central European Standard Time),18
Mon Dec 16 2024 14:52:00 GMT+0100 (Central European Standard Time),15
Mon Dec 16 2024 14:53:00 GMT+0100 (Central European Standard Time),13
Mon Dec 16 2024 14:54:00 GMT+0100 (Central European Standard Time),15
Mon Dec 16 2024 14:55:00 GMT+0100 (Central European Standard Time),15
Mon Dec 16 2024 14:56:00 GMT+0100 (Central European Standard Time),9
Mon Dec 16 2024 14:57:00 GMT+0100 (Central European Standard Time),17
Mon Dec 16 2024 14:58:00 GMT+0100 (Central European Standard Time),17
Mon Dec 16 2024 14:59:00 GMT+0100 (Central European Standard Time),11
